x-axis,1,2,3
second,Volt,Volt,Volt
-265.69600E-06,+1.97018834E-03,-1.24351462E-03,-98.32624E-06
-265.68000E-06,+2.05910048E-03,-1.44435144E-03,-98.32624E-06
-265.66400E-06,+2.13755236E-03,-783.26358E-06,-98.32624E-06
-265.64800E-06,+1.95972809E-03,-745.60667E-06,-98.32624E-06
-265.63200E-06,+1.89173646E-03,-578.24266E-06,-98.32624E-06
-265.61600E-06,+2.05910048E-03,-620.08366E-06,-98.32624E-06
-265.60000E-06,+2.13755236E-03,-720.50207E-06,-98.32624E-06
-265.58400E-06,+2.31537664E-03,-603.34726E-06,-98.32624E-06
-265.56800E-06,+2.56119254E-03,-879.49789E-06,-98.32624E-06
-265.55200E-06,+2.55073229E-03,-214.22593E-06,-98.32624E-06
-265.53600E-06,+2.56119254E-03,-314.64434E-06,-98.32624E-06
-265.52000E-06,+2.37290802E-03,-569.87446E-06,-453.97479E-06
-265.50400E-06,+2.22646450E-03,-59.41422E-06,-412.13378E-06
-265.48800E-06,+2.48274066E-03,+3.34729E-06,-98.32624E-06
-265.47200E-06,+2.63964443E-03,+3.34729E-06,-98.32624E-06
-265.45600E-06,+2.72855657E-03,-565.69036E-06,-98.32624E-06
-265.44000E-06,+2.80700845E-03,-712.13387E-06,-98.32624E-06
-265.42400E-06,+2.80700845E-03,-184.93723E-06,+257.32230E-06
-265.40800E-06,+3.07374486E-03,-423.43095E-06,+215.48130E-06
-265.39200E-06,+3.13127624E-03,-444.35145E-06,-98.32624E-06
-265.37600E-06,+2.88546034E-03,-912.97069E-06,-98.32624E-06
-265.36000E-06,+2.89592059E-03,-1.53221754E-03,-98.32624E-06
-265.34400E-06,+2.70763606E-03,-758.15898E-06,-98.32624E-06
-265.32800E-06,+2.73901682E-03,-628.45186E-06,-98.32624E-06
-265.31200E-06,+2.88546034E-03,-854.39328E-06,-453.97479E-06
-265.29600E-06,+2.80700845E-03,-950.62759E-06,-56.48524E-06
-265.28000E-06,+2.71809632E-03,-632.63597E-06,+571.12984E-06
-265.26400E-06,+2.55073229E-03,-201.67363E-06,+215.48130E-06
-265.24800E-06,+2.38336827E-03,-477.82425E-06,-98.32624E-06
-265.23200E-06,+2.30491639E-03,-1.09288700E-03,-453.97479E-06
-265.21600E-06,+2.39382852E-03,-1.46945604E-03,-767.78233E-06
-265.20000E-06,+2.29445614E-03,-687.02927E-06,-412.13378E-06
-265.18400E-06,+2.22646450E-03,-67.78242E-06,-98.32624E-06
-265.16800E-06,+2.57165280E-03,-841.84098E-06,-453.97479E-06
-265.15200E-06,+2.80700845E-03,-1.04267780E-03,-412.13378E-06
-265.13600E-06,+2.54027204E-03,-950.62759E-06,+257.32230E-06
-265.12000E-06,+2.30491639E-03,-917.15479E-06,+215.48130E-06
-265.10400E-06,+2.39382852E-03,-381.58994E-06,-98.32624E-06
-265.08800E-06,+2.65010468E-03,-699.58157E-06,-98.32624E-06
-265.07200E-06,+2.71809632E-03,-1.13054391E-03,-453.97479E-06
-265.05600E-06,+2.72855657E-03,-996.65270E-06,-56.48524E-06
-265.04000E-06,+2.71809632E-03,-507.11295E-06,+215.48130E-06
-265.02400E-06,+2.72855657E-03,-415.06275E-06,-98.32624E-06
-265.00800E-06,+2.71809632E-03,-808.36818E-06,-98.32624E-06
-264.99200E-06,+2.55073229E-03,-720.50207E-06,-98.32624E-06
-264.97600E-06,+2.56119254E-03,-603.34726E-06,-453.97479E-06
-264.96000E-06,+2.63964443E-03,-808.36818E-06,-56.48524E-06
-264.94400E-06,+2.55073229E-03,-862.76149E-06,+571.12984E-06
-264.92800E-06,+2.29445614E-03,-942.25939E-06,+215.48130E-06
-264.91200E-06,+2.22646450E-03,-783.26358E-06,-453.97479E-06
-264.89600E-06,+2.39382852E-03,-532.21756E-06,-412.13378E-06
-264.88000E-06,+2.11663186E-03,-745.60667E-06,-453.97479E-06
-264.86400E-06,+1.89173646E-03,-720.50207E-06,-412.13378E-06
-264.84800E-06,+1.70345193E-03,-745.60667E-06,+257.32230E-06
-264.83200E-06,+1.73483269E-03,-435.98325E-06,+215.48130E-06
-264.81600E-06,+1.79236407E-03,-423.43095E-06,+257.32230E-06
-264.80000E-06,+1.63546030E-03,-728.87027E-06,+215.48130E-06
-264.78400E-06,+1.63546030E-03,-452.71965E-06,-98.32624E-06
-264.76800E-06,+1.72437244E-03,-548.95396E-06,-98.32624E-06
-264.75200E-06,+1.80282432E-03,-515.48116E-06,+257.32230E-06
-264.73600E-06,+1.89173646E-03,-406.69455E-06,+215.48130E-06
-264.72000E-06,+1.97018834E-03,-674.47697E-06,-98.32624E-06
-264.70400E-06,+2.14801262E-03,-871.12969E-06,-98.32624E-06
-264.68800E-06,+2.30491639E-03,-507.11295E-06,-98.32624E-06
-264.67200E-06,+2.21600425E-03,-343.93304E-06,-98.32624E-06
-264.65600E-06,+2.31537664E-03,-745.60667E-06,-98.32624E-06
-264.64000E-06,+2.47228041E-03,-720.50207E-06,-98.32624E-06
-264.62400E-06,+2.65010468E-03,-461.08785E-06,+257.32230E-06
-264.60800E-06,+2.71809632E-03,-611.71546E-06,+215.48130E-06
-264.59200E-06,+2.72855657E-03,-728.87027E-06,-98.32624E-06
-264.57600E-06,+2.89592059E-03,-310.46024E-06,-98.32624E-06
-264.56000E-06,+2.97437247E-03,-352.30124E-06,-98.32624E-06
-264.54400E-06,+3.24110888E-03,-737.23847E-06,-98.32624E-06
